,Neighborhood,total_score
0,"LONG ISLAND CITY, Queens",74.73127289089122
1,"GREENPOINT, Brooklyn",69.73370202211017
2,"REGO PARK, Queens",68.55399870907304
3,"SUNNYSIDE, Queens",68.2419501451241
4,"WOODSIDE, Queens",67.90398835851758
5,"CARROLL GARDENS, Brooklyn",67.79349416467979
6,"CLINTON HILL, Brooklyn",67.68219847626858
7,"FOREST HILLS, Queens",67.5325261010414
8,"BRIARWOOD, Queens",67.3907540060146
9,"MIDTOWN EAST, Manhattan",67.38116703554427
10,"COBBLE HILL, Brooklyn",67.23999403920944
11,"ROOSEVELT ISLAND, Manhattan",66.58348972257565
12,"BROOKLYN HEIGHTS, Brooklyn",66.34071214512572
13,"KIPS BAY, Manhattan",66.27374384756014
14,"HOLLIS HILLS, Queens",66.0203010975837
15,"RIVERDALE, Bronx",65.97998334062149
16,"FORT GREENE, Brooklyn",65.67146205593352
17,"BOERUM HILL, Brooklyn",65.6348670199888
18,"RED HOOK, Brooklyn",65.49966936378691
19,"HILLCREST, Queens",65.35955617541958
20,"BROAD CHANNEL, Queens",64.97094775387824
21,"WILLIAMSBURG-NORTH, Brooklyn",64.92270944903997
22,"KENSINGTON, Brooklyn",64.88599968797224
23,"KEW GARDENS, Queens",64.76071655517156
24,"BAYSIDE, Queens",64.70300203816383
25,"CHINATOWN, Manhattan",64.65014661756037
26,"OAKLAND GARDENS, Queens",64.50985854813563
27,"PARK SLOPE, Brooklyn",64.47421278165152
28,"LITTLE NECK, Queens",64.44354440860289
29,"LITTLE ITALY, Manhattan",64.44151288369432
30,"ELMHURST, Queens",64.31798864565809
31,"MASPETH, Queens",63.99355374911266
32,"ROCKAWAY PARK, Queens",63.94739664185968
33,"BELLE HARBOR, Queens",63.86932223113251
34,"CONEY ISLAND, Brooklyn",63.640001261561125
35,"JAMAICA HILLS, Queens",63.63004824769671
36,"BRIGHTON BEACH, Brooklyn",63.60742313585789
37,"MIDDLE VILLAGE, Queens",63.520268506973416
38,"ARVERNE, Queens",63.40069160924106
39,"VAN CORTLANDT PARK, Bronx",63.33923617862851
40,"DOWNTOWN-FULTON MALL, Brooklyn",63.26448129624104
41,"PROSPECT HEIGHTS, Brooklyn",63.2569433149821
42,"BOROUGH PARK, Brooklyn",63.241437593256734
43,"ASTORIA, Queens",62.99840000840146
44,"RIDGEWOOD, Queens",62.917786753275315
45,"MURRAY HILL, Manhattan",62.808165752204545
46,"WILLIAMSBURG-EAST, Brooklyn",62.62407052783198
47,"BAY RIDGE, Brooklyn",62.526353832580696
48,"GOWANUS, Brooklyn",62.50007375439537
49,"NAVY YARD, Brooklyn",62.32856616184886
50,"FRESH MEADOWS, Queens",62.324676774865296
51,"CORONA, Queens",62.254258540654085
52,"COBBLE HILL-WEST, Brooklyn",62.21959207889515
53,"WINDSOR TERRACE, Brooklyn",62.19023538625934
54,"JAMAICA ESTATES, Queens",62.162455544604406
55,"HUNTS POINT, Bronx",62.12299527571827
56,"SUNSET PARK, Brooklyn",62.111055449035916
57,"WOODHAVEN, Queens",61.979523400269215
58,"RICHMOND HILL, Queens",61.80548236928537
59,"THROGS NECK, Bronx",61.79399348805038
60,"WILLIAMSBURG-SOUTH, Brooklyn",61.69106157889386
61,"HAMMELS, Queens",61.68048559419196
62,"DYKER HEIGHTS, Brooklyn",61.54387030702373
63,"GLENDALE, Queens",61.5360660569227
64,"TRIBECA, Manhattan",61.4981242539187
65,"JACKSON HEIGHTS, Queens",61.308746642612824
66,"LOWER EAST SIDE, Manhattan",61.2279300827668
67,"FAR ROCKAWAY, Queens",61.22095978210531
68,"OZONE PARK, Queens",61.2152076678214
69,"CHELSEA, Manhattan",61.17884267439572
70,"PELHAM GARDENS, Bronx",61.13400135786534
71,"DOWNTOWN-FULTON FERRY, Brooklyn",61.120417084959215
72,"EAST ELMHURST, Queens",61.11745889516742
73,"EAST VILLAGE, Manhattan",61.09306711788253
74,"SHEEPSHEAD BAY, Brooklyn",61.0561080815923
75,"DOWNTOWN-METROTECH, Brooklyn",61.003871185060476
76,"CANARSIE, Brooklyn",60.91546339418162
77,"GRAVESEND, Brooklyn",60.79338902820308
78,"FLUSHING MEADOW PARK, Queens",60.711946993327956
79,"BERGEN BEACH, Brooklyn",60.64558380588085
80,"ALPHABET CITY, Manhattan",60.49823744791587
81,"JAMAICA, Queens",60.487128998317885
82,"BENSONHURST, Brooklyn",60.47373503991034
83,"WHITESTONE, Queens",60.34459136293563
84,"HOWARD BEACH, Queens",60.224123108805365
85,"MILL BASIN, Brooklyn",59.96723318039284
86,"SOUTH JAMAICA, Queens",59.91521120979659
87,"BATH BEACH, Brooklyn",59.91418012167088
88,"GLEN OAKS, Queens",59.8921865485129
89,"BELMONT, Bronx",59.85864321436125
90,"JAVITS CENTER, Manhattan",59.84140976433889
91,"SOUTH OZONE PARK, Queens",59.817433396653406
92,"PARKCHESTER, Bronx",59.62576954424624
93,"MIDWOOD, Brooklyn",59.57196665143999
94,"CROWN HEIGHTS, Brooklyn",59.519409770014015
95,"SPRINGFIELD GARDENS, Queens",59.45030673567707
96,"MARINE PARK, Brooklyn",59.3956131130161
97,"CITY ISLAND, Bronx",59.29287215881394
98,"KINGSBRIDGE/JEROME PARK, Bronx",59.24229121256377
99,"SOUTHBRIDGE, Manhattan",59.22225895560867
100,"BROWNSVILLE, Brooklyn",59.21712936121467
101,"FLUSHING-NORTH, Queens",59.09672959952495
102,"FIELDSTON, Bronx",58.83630054553918
103,"ROSSVILLE, Staten Island",58.77264643324912
104,"FLATLANDS, Brooklyn",58.76273233720686
105,"COLLEGE POINT, Queens",58.687114067642185
106,"HARLEM-EAST, Manhattan",58.67469463844551
107,"CIVIC CENTER, Manhattan",58.64297293880207
108,"MANHATTAN BEACH, Brooklyn",58.57385327046608
109,"UPPER WEST SIDE (59-79), Manhattan",58.5282771861011
110,"WILLIAMSBURG-CENTRAL, Brooklyn",58.46735936667504
111,"DOUGLASTON, Queens",58.388486979210235
112,"ST. ALBANS, Queens",58.29202220478619
113,"FLUSHING-SOUTH, Queens",58.13130006976955
114,"ARROCHAR, Staten Island",58.009241349246274
115,"SOUNDVIEW, Bronx",57.974145701932855
116,"ARDEN HEIGHTS, Staten Island",57.865106073099355
117,"TOTTENVILLE, Staten Island",57.863430650917344
118,"PARK SLOPE SOUTH, Brooklyn",57.846688380593726
119,"MIDLAND BEACH, Staten Island",57.81756207517801
120,"UPPER EAST SIDE (96-110), Manhattan",57.817337473842855
121,"MANHATTAN VALLEY, Manhattan",57.79273271257713
122,"DONGAN HILLS, Staten Island",57.72536859468761
123,"HOLLISWOOD, Queens",57.66397335671342
124,"AIRPORT LA GUARDIA, Queens",57.6559427455118
125,"HOLLIS, Queens",57.61585737948275
126,"QUEENS VILLAGE, Queens",57.60617766636326
127,"MORNINGSIDE HEIGHTS, Manhattan",57.57385276518382
128,"PELHAM PARKWAY SOUTH, Bronx",57.571634686492445
129,"ROSEDALE, Queens",57.52859489457512
130,"TODT HILL, Staten Island",57.466782617363116
131,"SCHUYLERVILLE/PELHAM BAY, Bronx",57.42502401862261
132,"BEDFORD STUYVESANT, Brooklyn",57.37221101712683
133,"BUSHWICK, Brooklyn",57.30219396253932
134,"MORRISANIA/LONGWOOD, Bronx",57.288376222025484
135,"FINANCIAL, Manhattan",57.23859785871124
136,"EAST TREMONT, Bronx",57.227932011737266
137,"WYCKOFF HEIGHTS, Brooklyn",57.20195544850796
138,"MANOR HEIGHTS, Staten Island",57.20099015866533
139,"WOODROW, Staten Island",57.185691002818885
140,"COUNTRY CLUB, Bronx",57.15542102994956
141,"HARLEM-CENTRAL, Manhattan",56.9935675673931
142,"CROTONA PARK, Bronx",56.95820400508972
143,"MIDTOWN CBD, Manhattan",56.774287523009214
144,"BATHGATE, Bronx",56.686022011772344
145,"MADISON, Brooklyn",56.6828036035477
146,"NEPONSIT, Queens",56.59199825592089
147,"BEECHHURST, Queens",56.54674097955748
148,"UPPER WEST SIDE (96-116), Manhattan",56.502857384753554
149,"OAKWOOD, Staten Island",56.45631552525154
150,"NEW DORP, Staten Island",56.45475710860726
151,"JAMAICA BAY, Queens",56.45416581918345
152,"UPPER WEST SIDE (79-96), Manhattan",56.44049403930657
153,"BUSH TERMINAL, Brooklyn",56.414839798984765
154,"HARLEM-WEST, Manhattan",56.40394423722726
155,"FLATIRON, Manhattan",56.26045958909507
156,"OCEAN PARKWAY-NORTH, Brooklyn",56.22275809542094
157,"GRAMERCY, Manhattan",56.2186022591023
158,"LAURELTON, Queens",56.205716000843694
159,"ANNADALE, Staten Island",56.194119384383534
160,"CLINTON, Manhattan",56.16406772218863
161,"CAMBRIA HEIGHTS, Queens",56.11195624250442
162,"WESTCHESTER, Bronx",56.034734796403846
163,"NEW SPRINGVILLE, Staten Island",56.026865385219196
164,"PELHAM PARKWAY NORTH, Bronx",56.024327500450205
165,"MORRIS PARK/VAN NEST, Bronx",55.97020950198059
166,"ROSEBANK, Staten Island",55.94423255820163
167,"SOHO, Manhattan",55.928541866207354
168,"WASHINGTON HEIGHTS LOWER, Manhattan",55.88773601933299
169,"SUNNYSIDE, Staten Island",55.80379788580253
170,"BAYCHESTER, Bronx",55.766318477921125
171,"HARLEM-UPPER, Manhattan",55.71209166139687
172,"BULLS HEAD, Staten Island",55.65655243081426
173,"FLATBUSH-LEFFERTS GARDEN, Brooklyn",55.52383902107303
174,"FLATBUSH-CENTRAL, Brooklyn",55.38795203497076
175,"SO. JAMAICA-BAISLEY PARK, Queens",55.3661264471513
176,"INWOOD, Manhattan",55.30327453899063
177,"WESTERLEIGH, Staten Island",55.29231844525827
178,"FORDHAM, Bronx",55.27392926985505
179,"SEAGATE, Brooklyn",55.255163985713125
180,"GREENWICH VILLAGE-CENTRAL, Manhattan",55.24516588206108
181,"HIGHBRIDGE/MORRIS HEIGHTS, Bronx",55.02593905108296
182,"FASHION, Manhattan",55.02167512745292
183,"BREEZY POINT, Queens",54.96443585538801
184,"KINGSBRIDGE HTS/UNIV HTS, Bronx",54.88502224655703
185,"FRESH KILLS, Staten Island",54.8786133882672
186,"UPPER EAST SIDE (59-79), Manhattan",54.8665612995225
187,"MOUNT HOPE/MOUNT EDEN, Bronx",54.83593355620697
188,"OCEAN HILL, Brooklyn",54.79971869868047
189,"OCEAN PARKWAY-SOUTH, Brooklyn",54.59196998582176
190,"TOMPKINSVILLE, Staten Island",54.53958689053032
191,"BEDFORD PARK/NORWOOD, Bronx",54.51388129578927
192,"BRONXDALE, Bronx",54.51112744724748
193,"NEW BRIGHTON-ST. GEORGE, Staten Island",54.488781543585084
194,"GREAT KILLS, Staten Island",54.362496155435814
195,"CASTLETON CORNERS, Staten Island",54.164726227608675
196,"UPPER EAST SIDE (79-96), Manhattan",54.04994402303745
197,"GREENWICH VILLAGE-WEST, Manhattan",54.04662731673809
198,"OLD MILL BASIN, Brooklyn",54.027665180003225
199,"WASHINGTON HEIGHTS UPPER, Manhattan",53.82215304235266
200,"MIDTOWN WEST, Manhattan",53.65306974377688
201,"MARINERS HARBOR, Staten Island",53.574384238270326
202,"FLATBUSH-NORTH, Brooklyn",53.50251529374565
203,"MELROSE/CONCOURSE, Bronx",53.41355744809685
204,"WILLIAMSBRIDGE, Bronx",53.356867874481026
205,"DONGAN HILLS-OLD TOWN, Staten Island",53.33567717394701
206,"MOTT HAVEN/PORT MORRIS, Bronx",53.316440805967645
207,"GRANT CITY, Staten Island",53.31249651846623
208,"FLORAL PARK, Queens",53.00591078931398
209,"GRASMERE, Staten Island",52.97465087650896
210,"ELTINGVILLE, Staten Island",52.946747192485546
211,"SOUTH BEACH, Staten Island",52.9015055259737
212,"CASTLE HILL/UNIONPORT, Bronx",52.87657867354496
213,"WAKEFIELD, Bronx",52.87345853110939
214,"BELLEROSE, Queens",52.85898145396526
215,"PRINCES BAY, Staten Island",52.67371735137373
216,"PORT RICHMOND, Staten Island",52.506853696092996
217,"GERRITSEN BEACH, Brooklyn",52.50154956533916
218,"ROSSVILLE-CHARLESTON, Staten Island",52.45764168257619
219,"ARROCHAR-SHORE ACRES, Staten Island",52.448016159464785
220,"PLEASANT PLAINS, Staten Island",52.15916849122898
221,"HUGUENOT, Staten Island",52.13108962409586
222,"FLATBUSH-EAST, Brooklyn",51.774028802132435
223,"EMERSON HILL, Staten Island",51.7628769816041
224,"OAKWOOD-BEACH, Staten Island",51.56256590366725
225,"NEW DORP-HEIGHTS, Staten Island",51.4286273978026
226,"GRYMES HILL, Staten Island",51.303726029454694
227,"WOODLAWN, Bronx",51.16335761528977
228,"DONGAN HILLS-COLONY, Staten Island",51.16043695503283
229,"ROSSVILLE-RICHMOND VALLEY, Staten Island",50.95818819886915
230,"STAPLETON-CLIFTON, Staten Island",50.942679527184794
231,"GREAT KILLS-BAY TERRACE, Staten Island",50.9175198182689
232,"CONCORD-FOX HILLS, Staten Island",50.89190028985308
233,"NEW DORP-BEACH, Staten Island",50.8783332691218
234,"TRAVIS, Staten Island",50.87208575831397
235,"WILLOWBROOK, Staten Island",50.648409442734206
236,"RICHMONDTOWN, Staten Island",50.62449045198701
237,"RICHMONDTOWN-LIGHTHS HILL, Staten Island",50.55752827760529
238,"CYPRESS HILLS, Brooklyn",50.399600411640165
239,"CONCORD, Staten Island",50.34737687047115
240,"PORT IVORY, Staten Island",50.012847370894285
241,"EAST NEW YORK, Brooklyn",49.762962814855655
242,"SPRING CREEK, Brooklyn",49.389689503969294
243,"CLOVE LAKES, Staten Island",48.90517884576581
244,"STAPLETON, Staten Island",48.79429449975284
245,"SILVER LAKE, Staten Island",48.340910791195945
246,"NEW BRIGHTON, Staten Island",48.00886389959163
247,"LIVINGSTON, Staten Island",47.860932113670934
248,"WEST NEW BRIGHTON, Staten Island",47.36178492838623
